"Reviewer","index","DOI","URL","Citation","Journal"
"Reviewer2",1884,"10.1002/2016WR019727","https://doi.org/10.1002/2016WR019727","Muniruzzaman, M.; Rolle, M. (2017) Experimental investigation of the impact of compound-specific dispersion and electrostatic interactions on transient transport and solute breakthrough. Water Resources Research. 53, 1189-1209.","Water Resources Research"
"Reviewer2",1899,"10.1002/2016WR019993","https://doi.org/10.1002/2016WR019993","Read, E.K.; Carr, L.; De Cicco, L.; Dugan, H.A.; Hanson, P.C.; Hart, J.A.; Kreft, J.; Read, J.S.; Winslow, L.A. (2017) Water quality data for national-scale aquatic research: The Water Quality Portal. Water Resources Research. 53, 1735-1745.","Water Resources Research"
"Reviewer2",1910,"10.1002/2016WR019868","https://doi.org/10.1002/2016WR019868","Zhou, Q.; Oldenburg, C.M.; Spangler, L.H.; Birkholzer, J.T. (2017) Approximate solutions for diffusive fracture-matrix transfer: Application to storage of dissolved CO2 in fractured rocks. Water Resources Research. 53, 1746-1762.","Water Resources Research"
"Reviewer2",1976,"10.1002/2017WR020921","https://doi.org/10.1002/2017WR020921","Fischer, P.; Jardani, A.; Wang, X.; Jourde, H.; Lecoq, N. (2017) Identifying Flow Networks in a Karstified Aquifer by Application of the Cellular Automata-Based Deterministic Inversion Method (Lez Aquifer, France). Water Resources Research. NA, .","Water Resources Research"
"Reviewer3",7,"10.1016/j.envsoft.2017.03.023","https://doi.org/10.1016/j.envsoft.2017.03.023","Van Oijen, M.; Cameron, D.; Levy, P.E.; Preston, R. (2017) Correcting errors from spatial upscaling of nonlinear greenhouse gas flux models. Environmental Modelling and Software. 94, 157-165.","Environmental Modelling and Software"
"Reviewer3",9,"10.1016/j.envsoft.2016.11.011","https://doi.org/10.1016/j.envsoft.2016.11.011","Weir, M.H.; Mitchell, J.; Flynn, W.; Pope, J.M. (2017) Development of a microbial dose response visualization and modelling application for QMRA modelers and educators. Environmental Modelling and Software. 88, 74-83.","Environmental Modelling and Software"
"Reviewer3",22,"10.1016/j.envsoft.2017.06.051","https://doi.org/10.1016/j.envsoft.2017.06.051","Zhang, M.; Yue, P.; Wu, Z.; Ziebelin, D.; Wu, H.; Zhang, C. (2017) Model provenance tracking and inference for integrated environmental modelling. Environmental Modelling and Software. 96, 95-105.","Environmental Modelling and Software"
"Reviewer3",29,"10.1016/j.envsoft.2017.03.031","https://doi.org/10.1016/j.envsoft.2017.03.031","Haghnegahdar, A.; Razavi, S. (2017) Insights into sensitivity analysis of Earth and environmental systems models: On the impact of parameter perturbation scale. Environmental Modelling and Software. 95, 115-131.","Environmental Modelling and Software"
"Reviewer3",30,"10.1016/j.envsoft.2017.06.022","https://doi.org/10.1016/j.envsoft.2017.06.022","Klise, K.A.; Bynum, M.; Moriarty, D.; Murray, R. (2017) A software framework for assessing the resilience of drinking water systems to disasters with an example earthquake case study. Environmental Modelling and Software. 95, 420-431.","Environmental Modelling and Software"
"Reviewer3",50,"10.1016/j.envsoft.2017.01.023","https://doi.org/10.1016/j.envsoft.2017.01.023","Humphrey, G.B.; Maier, H.R.; Wu, W.; Mount, N.J.; Dandy, G.C.; Abrahart, R.J.; Dawson, C.W. (2017) Improved validation framework and R-package for artificial neural network models. Environmental Modelling and Software. 92, 82-106.","Environmental Modelling and Software"
"Reviewer3",70,"10.1016/j.envsoft.2017.06.017","https://doi.org/10.1016/j.envsoft.2017.06.017","Neuwirth, C. (2017) System dynamics simulations for data-intensive applications. Environmental Modelling and Software. 96, 140-145.","Environmental Modelling and Software"
