Reviewer,index,DOI,URL,Citation,Journal
Reviewer4,500,10.5194/hess-21-1077-2017,https://doi.org/10.5194/hess-21-1077-2017,"Muthusamy, M.; Schellart, A.; Tait, S.; Heuvelink, G.B.M. (2017) Geostatistical upscaling of rain gauge data to support uncertainty analysis of lumped urban hydrological models. Hydrology and Earth System Sciences. 21, 1077-1091.",Hydrology and Earth System Sciences
Reviewer4,573,10.1111/1752-1688.12572,https://doi.org/10.1111/1752-1688.12572,"Gassman, P.W.; Valcu-Lisman, A.M.; Kling, C.L.; Mickelson, S.K.; Panagopoulos, Y.; Cibin, R.; Chaubey, I.; Wolter, C.F.; Schilling, K.E.; McMillan, M.; Liebens, J.; Metcalf, C. (2017) Evaluating the BANCS Streambank Erosion Framework on the Northern Gulf of Mexico Coastal Plain. Journal of the American Water Resources Association. 53, 1393-1408.",Journal of the American Water Resources Association
Reviewer4,574,10.1111/1752-1688.12598,https://doi.org/10.1111/1752-1688.12598,"Shen, Y.; Goodall, J.L.; Chase, S.B.; Keane, T.D.; Sass, C.K. (2017) Channel Evolution Models as Predictors of Sediment Yield. Journal of the American Water Resources Association. 53, 1513-1529.",Journal of the American Water Resources Association
Reviewer4,578,10.1111/1752-1688.12561,https://doi.org/10.1111/1752-1688.12561,"Dickson, K.E.; Dzombak, D.A. (2017) Inventory of Interbasin Transfers in the United States. Journal of the American Water Resources Association. 53, 1121-1132.",Journal of the American Water Resources Association
Reviewer4,649,10.1111/1752-1688.12497,https://doi.org/10.1111/1752-1688.12497,"Mittelstet, A.R.; Storm, D.E.; Fox, G.A.; Phelan, J.; Cuffney, T.; Patterson, L.; Eddy, M.; Dykes, R.; Pearsall, S.; Goudreau, C.; Mead, J.; Tarver, F. (2017) Fish and Invertebrate Flow-Biology Relationships to Support the Determination of Ecological Flows for North Carolina. Journal of the American Water Resources Association. 53, 42-55.",Journal of the American Water Resources Association
Reviewer4,666,10.1111/1752-1688.12575,https://doi.org/10.1111/1752-1688.12575,"Zhao, T.; Minsker, B.; Salas, F.; Maidment, D.; Diev, V.; Spoelstra, J.; Dhingra, P. (2017) Statistical and Hybrid Methods Implemented in a Web Application for Predicting Reservoir Inflows during Flood Events. Journal of the American Water Resources Association. NA, .",Journal of the American Water Resources Association
Reviewer4,709,10.1016/j.jhydrol.2017.10.065,https://doi.org/10.1016/j.jhydrol.2017.10.065,"Doble, R.C.; Pickett, T.; Crosbie, R.S.; Morgan, L.K.; Turnadge, C.; Davies, P.J. (2017) Emulation of recharge and evapotranspiration processes in shallow groundwater systems. Journal of Hydrology. 555, 894-908.",Journal of Hydrology
Reviewer4,753,10.1016/j.jhydrol.2017.09.052,https://doi.org/10.1016/j.jhydrol.2017.09.052,"Wang, S.; Huang, G.H.; Baetz, B.W.; Cai, X.M.; Ancell, B.C.; Fan, Y.R. (2017) Examining dynamic interactions among experimental factors influencing hydrologic data assimilation with the ensemble Kalman filter. Journal of Hydrology. 554, 743-757.",Journal of Hydrology
Reviewer4,762,10.1016/j.jhydrol.2017.09.050,https://doi.org/10.1016/j.jhydrol.2017.09.050,"Morbidelli, R.; Saltalippi, C.; Flammini, A.; Cifrodelli, M.; Picciafuoco, T.; Corradini, C.; Casas-Castillo, M.C.; Fowler, H.J.; Wilkinson, S.M. (2017) Effect of temporal aggregation on the estimate of annual maximum rainfall depths for the design of hydraulic infrastructure systems. Journal of Hydrology. 554, 710-720.",Journal of Hydrology
Reviewer4,796,10.1016/j.jhydrol.2017.07.048,https://doi.org/10.1016/j.jhydrol.2017.07.048,"Felfelani, F.; Wada, Y.; Longuevergne, L.; Pokhrel, Y.N. (2017) Natural and human-induced terrestrial water storage change: A global analysis using hydrological models and GRACE. Journal of Hydrology. 553, 105-118.",Journal of Hydrology
